id,Site,site,lat,long,UTM_Zone,UTM_X,UTM_Y,climate zone,size.ha,E,wsg.site.name,koppen
6,Kuala Belalong,kuala belalong,4.54,115.15,50,295190.97,501901.22,tropical,25,-0.047395853,NA,Af
43,La Planada,la planada,1.16,-77.99,18,166813.2014,127926.4909,tropical,25,-0.146312127,laplanada,Cfb
15,Lambir,lambir,4.19,114.02,50,168797.5144,463372.1445,tropical,52,-0.105606113,lambir,Af
49,Laupahoehoe,laupahoehoe,19.93,-155.29,5,260613.292,2205375.382,tropical,4,,,Cfb
22,Lienhuachih,lienhuachih,23.91,120.88,51,284093.6913,2646281.327,subtropical,25,0.223115583,lienhuachih,Cwb
32,Lilly Dickey Woods,lilly dickey,39.24,-86.22,16,567481.1184,4343246.441,temperate,25,1.686475838,lillydickey,Cfa
48,Luquillo,luquillo,18.33,-65.82,20,202346.9856,2028576.873,tropical,16,0.096506178,luquillo,Am
41,Manaus,manaus,-2.44,-59.79,21,190167.2928,9729796.059,tropical,25,-0.116549646,manaus,Af
,Michigan Big Woods,michigan big woods,42.46,-84,17,253334.39,4705213.08,temperate,23,,,Dfa
28,Mo Singto,mo singto,14.43,101.35,47,753358.2549,1596943.59,tropical,30.5,0.352063637,mosingto,Aw
4,Mpala,mpala,0.29,36.88,37,264146.1264,32274.8907,tropical,150,0.540809412,mpala,Cfb
13,Mudumalai,mudumalai,11.6,76.53,43,667229.3428,1282651.532,tropical,50,0.20541107,mudumalai,Aw
23,Nanjenshan,nanjenshan,22.06,120.85,51,278542.3832,2440915.528,tropical,6,0.013545828,nanjenshan,Aw
11,Nonggang,nonggang,22.43,106.95,48,700691.1024,2482092.06,tropical,15,0.572216054,NA,Cwa
50,Palamanui,palamanui,19.74,-155.99,5,186188.785,2185414.698,tropical,4,,,Cfb
17,Palanan,palanan,17.04,122.39,51,434869.6106,1884104.104,tropical,16,-0.019430539,palanan,Af
16,Pasoh,pasoh,2.98,102.31,48,201296.6791,329968.1588,tropical,50,-0.094024937,pasoh,Af
3,Rabi,rabi,-1.92,9.88,32,597875.4122,9787247.824,tropical,25,0.01258341,rabi,Aw
47,San Lorenzo/ Sherman,san lorenzo/ sherman,9.28,-79.97,17,612688.965,1026137.017,tropical,6,-0.04491691,NA,Am
33,Santa Cruz,santa cruz,37.01,-122.08,10,582290.4887,4096647.841,temperate,16,0.6355596,NA,Csb
34,SCBI,scbi,38.89,-78.15,17,747576.8353,4308832.418,temperate,25.6,1.571394901,NA,Cfa
30,Scotty Creek,scotty creek,61.3,-121.3,10,591070.3047,6797388.659,boreal,21,2.646941295,scotty,Dfc
35,SERC,serc,38.89,-76.56,18,364754.7104,4305625.637,temperate,16,1.631266437,serc,Cfa
19,Sinharaja,sinharaja,6.4,80.4,44,433901.8141,707714.4623,tropical,25,-0.118385938,sinharaja,Af
58,Speulderbos,speulderbos,52.25,5.7,31,684429.1599,5792617.953,temperate,27,0.951916465,NA,Cfb
56,Tiantongshan,tiantongshan,29.81,121.78,51,382397.5835,3298530.392,subtropical,20,1.110867343,NA,Cfa
,Traunstein,traunstein,47.93,12.66,33,325215.43,5311170.25,temperate,25,,,Dfb
36,Tyson Research Center,tyson,38.52,-90.56,15,712942.9979,4266096.106,temperate,20,1.838340028,NA,Cfa
,University of California-Santa Cruz,ucsc,37.012,-122.075,10,582290.92,4096603.47,temperate,16,,,Csb
,University of Maryland-Baltimore County,umbc,39.25,-76.708,18,352618.75,4345910.06,temperate,6.25,,,Cfa
,Utah,utah,37.66,-112.85,12,336820.66,4169702.28,temperate,13.64,,,Cfb
37,Wabikon,wabikon,45.55,-88.79,16,359937.4361,5046128.58,temperate,25.6,1.731811064,wabikon,Dfb
5,Wanang,wanang,-5.25,145.27,55,307935.092,9419435.135,tropical,50,-0.176488947,NA,Af
38,Wind River,wind river,45.82,-121.96,10,581116.9193,5074545.366,temperate,25.6,0.8436695,windriver,Csb
59,Wytham Woods,wytham woods,51.77,-1.34,30,614673.2627,5737242.505,temperate,18,0.90247604,wytham,Cfb
12,Xishuangbanna,xishuangbanna,21.61,101.57,47,766473.4356,2392054.222,tropical,20,0.33522321,xtbg,Cwa
44,Yasuni,yasuni,-0.69,-76.4,18,344544.4378,9924164.715,tropical,50,-0.02645997,yasuni,Af
39,Yosemite National Park,yosemite,37.77,-119.82,11,251690.3705,4183617.761,temperate,25.6,1.360057948,yosemite,Csb
24,Zenlun,zenlun,23.42,120.55,51,249752.1018,2592662.301,tropical,12,0.211963255,NA,Cfb
57,Zofin,zofin,48.66,14.71,33,478447.4731,5390124.453,temperate,25,1.002541365,zofin,Cfb
,Niobrara,niobara,42.78,-100.02,14,416483.33,4736890.07,temperate,20.16,,NA,Dfa
,Indian Cave,indian cave,40.25,-95.54,15,284222.48,4458593.14,temperate,18.4,,NA,Dfa
,Ordway-Swisher,ordway-swisher,29.692414,-81.993419,17,403890.47,3285115.87,temperate,17.25,,NA,Cfa
