"site","family","species","species_code","life_form","variable_biomass_component","equation_grouping","equation_id","allometry_specificity","wsg","wsg_id"
"UCSC","Fagaceae","Quercus agrifolia","QUERAG","Tree","Total aboveground biomass","G",NA,"Family","0.6",NA
"UCSC","Fagaceae","Quercus parvula","QUERPA","Tree","Total aboveground biomass","G",NA,"Family","0.59",NA
"UCSC","Myricaceae","Morella californica","MORECA","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.5",NA
"UCSC","Rhamnaceae","Rhamnus californica","RHAMCA","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.5",NA
"UCSC","Rosaceae","Cotoneaster franchetii","COTOFR","Shrub","Total aboveground biomass","G",NA,"Family","0.5",NA
"UCSC","Rosaceae","Cotoneaster pannosus","COTOPA","Shrub","Total aboveground biomass","G",NA,"Family","0.5",NA
"UCSC","Rosaceae","Crataegus monogyna","CRATMO","Shrub","Total aboveground biomass","G",NA,"Family","0.62",NA
"UCSC","Rosaceae","Heteromeles arbutifolia","HETEAR","Shrub","Total aboveground biomass","G",NA,"Family","0.5",NA
"UCSC","Rosaceae","Pyracantha angustifolia","PYRAAN","Shrub","Total aboveground biomass","G",NA,"Family","0.5",NA
"UCSC","Salicaceae","Salix lasiandra","SALILA","Shrub","Total aboveground biomass","G",NA,"Family","0.36",NA
"UCSC","Sapindaceae","Acer macrophyllum","ACERMA","Tree","Total aboveground biomass","G",NA,"Family","0.44",NA
"UCSC","Ericaceae","Arbutus menziesii","ARBUME","Tree","Live crown","",NA,"Species","0.58",NA
"UCSC","Ericaceae","Arbutus menziesii","ARBUME","Tree","Dead crown","",NA,"Species","0.58",NA
"UCSC","Fagaceae","Lithocarpus densiflorus","LITHDE","Tree","Live crown","",NA,"Species","0.56",NA
"UCSC","Fagaceae","Lithocarpus densiflorus","LITHDE","Tree","Dead crown","",NA,"Species","0.56",NA
"UCSC","Fagaceae","Lithocarpus densiflorus","LITHDE","Tree","Bole","",NA,"Species","0.56",NA
"UCSC","Ericaceae","Arbutus menziesii","ARBUME","Tree","Bole","",NA,"Species","0.58",NA
"UCSC","Ericaceae","Vaccinium ovatum","VACCOV","Shrub","Total aboveground biomass (wood and bark)","",NA,"Species","0.47",NA
"UCSC","Rhamnaceae","Ceanothus thyrsiflorus","CEANTH","Shrub","Total aboveground biomass","",NA,"Species","0.67",NA
"UCSC","Grossulariaceae","Ribes divaricatum","RIBEDI","Shrub","Total aboveground biomass","",NA,"Genus","0.73",NA
"UCSC","Myrtaceae","Eucalyptus globulus","EUCAGL","Tree","Total aboveground biomass","",NA,"Species","0.68",NA
"UCSC","Pinaceae","Pinus attenuata","PINUAT","Tree","Stem (wood + bark)","",NA,"Species","0.42",NA
"UCSC","Pinaceae","Pinus ponderosa","PINUPO","Tree","Stem (wood + bark)","",NA,"Species","0.38",NA
"Wabikon","Betulaceae","Betula alleghaniensis","BETALL","Tree","Whole tree (above stump)","",NA,"Species","0.55",NA
"Wabikon","Cupressaceae","Thuja occidentalis ","THUOCC","Tree","Whole tree (above stump)","",NA,"Species","0.29",NA
"Wabikon","Malvaceae","Tilia americana ","TILAME","Tree","Foliage total","",NA,"Species","0.32",NA
"Wabikon","Pinaceae","Abies balsamea","ABIBAL","Tree","Whole tree (above stump)","",NA,"Species","0.34",NA
"Wabikon","Pinaceae","Larix laricina","LARLAR","Tree","Whole tree (above stump)","",NA,"Species","0.49",NA
"Wabikon","Pinaceae","Picea glauca","PICGLA","Tree","Whole tree (above stump)","",NA,"Species","0.37",NA
"Wabikon","Pinaceae","Picea mariana","PICMAR","Tree","Whole tree (above stump)","",NA,"Species","0.38",NA
"Wabikon","Salicaceae","Populus balsamifera ","POPBAL","Tree","Whole tree (above stump)","",NA,"Species","0.31",NA
"Wabikon","Ulmaceae","Ulmus americana ","ULMAME","Tree","Whole tree (above stump)","",NA,"Species","0.46",NA
"Wabikon","Oleaceae","Fraxinus americana ","FRAAME","Tree","Whole tree (above stump)","",NA,"Species","0.51",NA
"Wabikon","Caprifoliaceae","Lonicera canadensis","LONCAN","Shrub","Total aboveground biomass","",NA,"Species","NRA",NA
"Wabikon","Malvaceae","Tilia americana ","TILAME","Tree","Stem + branches (live)","",NA,"Species","0.32",NA
"Wabikon","Oleaceae","Fraxinus nigra","FRANIG","Tree","Total aboveground biomass","",NA,"Species","0.45",NA
"Wabikon","Adoxaceae","Sambucus racemosa ","SAMRAC","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.5",NA
"Wabikon","Aquifoliaceae","Ilex mucronata","ILEMUC","Shrub","Total aboveground biomass","G",NA,"Family","0.5",NA
"Wabikon","Aquifoliaceae","Ilex verticillata","ILEVER","Shrub","Total aboveground biomass","G",NA,"Family","0.5",NA
"Wabikon","Betulaceae","Alnus incana","ALNINC","Shrub","Total aboveground biomass","G",NA,"Family","0.37",NA
"Wabikon","Betulaceae","Corylus cornuta","CORCOR","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.5",NA
"Wabikon","Grossulariaceae","Ribes cynosbati ","RIBCYN","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.73",NA
"Wabikon","Juglandaceae","Juglans cinerea ","JUGCIN","Tree","Total aboveground biomass","G",NA,"Family","0.36",NA
"Wabikon","Pinaceae","Pinus strobus ","PINSTR","Tree","Whole tree (aboveground)","",NA,"Species","0.34",NA
"Wabikon","Rosaceae","Amelanchier sanguinea ","AMESAN","Shrub","Total aboveground biomass","G",NA,"Family","0.66",NA
"Wabikon","Rosaceae","Malus pumila","MALPUM","Tree","Total aboveground biomass","G",NA,"Family","0.61",NA
"Wabikon","Rosaceae","Prunus virginiana ","PRUVIR","Tree","Total aboveground biomass","G",NA,"Family","0.47",NA
"Wabikon","Rosaceae","Sorbus americana","SORAME","Tree","Total aboveground biomass","G",NA,"Family","0.42",NA
"Wabikon","Thymelaeaceae","Dirca palustris ","DIRPAL","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.33",NA
"Wabikon","Aceraceae","Acer rubrum ","ACERUB","Tree","Whole tree (aboveground)","",NA,"Species","0.49",NA
"Wabikon","Aceraceae","Acer rubrum ","ACERUB","Tree","Whole tree (aboveground)","",NA,"Species","0.49",NA
"Wabikon","Aceraceae","Acer spicatum","ACESPI","Shrub","Whole tree (aboveground)","",NA,"Species","0.44",NA
"Wabikon","Betulaceae","Betula papyrifera","BETPAP","Tree","Whole tree (aboveground)","",NA,"Species","0.48",NA
"Wabikon","Betulaceae","Ostrya virginiana","OSTVIR","Tree","Stem + branches (live)","",NA,"Species","0.63",NA
"Wabikon","Betulaceae","Ostrya virginiana","OSTVIR","Tree","Foliage total","",NA,"Species","1.63",NA
"Wabikon","Cornaceae","Cornus alternifolia","CORALT","Tree","Whole tree (aboveground)","",NA,"Species","0.64",NA
"Wabikon","Fagaceae","Quercus rubra ","QUERUB","Tree","Whole tree (aboveground)","",NA,"Species","0.56",NA
"Wabikon","Pinaceae","Tsuga canadensis","TSUCAN","Tree","Whole tree (aboveground)","",NA,"Species","0.38",NA
"Wabikon","Rosaceae","Amelanchier laevis","AMELAE","Shrub","Total aboveground biomass","G",NA,"Family","0.66",NA
"Wabikon","Aceraceae","Acer saccharum","ACESUG","Tree","Whole tree (aboveground)","",NA,"Species","0.56",NA
"Wabikon","Oleaceae","Fraxinus americana ","FRAAME","Tree","Whole tree (above stump)","",NA,"Species","0.51",NA
"Wabikon","Rosaceae","Prunus pensylvanica","PRUPEN","Tree","Whole tree (aboveground)","",NA,"Species","0.5",NA
"Wabikon","Rosaceae","Prunus serotina","PRUSER","Tree","Whole tree (aboveground)","",NA,"Species","0.47",NA
"Wabikon","Salicaceae","Populus grandidentata","POPGRA","Tree","Whole tree (aboveground)","",NA,"Species","0.36",NA
"Wabikon","Salicaceae","Populus tremuloides","POPTRE","Tree","Whole tree (aboveground)","",NA,"Species","0.35",NA
"Wind River","Pinaceae","Tsuga heterophylla","TSHE","Tree","Whole tree (above stump)","",NA,"Species","0.42",NA
"Wind River","Pinaceae","Abies grandis","ABGR","Tree","Stem (wood + bark)","",NA,"Species","0.35",NA
"Wind River","Caprifoliaceae","Lonicera ciliosa","LOCI","Shrub","Total aboveground biomass","",NA,"Species","NRA",NA
"Wind River","Rosaceae","Rosa gymnocarpa","ROGY","Shrub","Total aboveground biomass","",NA,"Genus","NRA",NA
"Wind River","Betulaceae","Alnus rubra","ALRU","Tree","Whole tree (above stump)","",NA,"Species","0.37",NA
"Wind River","Pinaceae","Pseudotsuga menziesii","PSME","Tree","Total aboveground biomass","",NA,"Species","0.45",NA
"Wind River","Sapindaceae","Acer circinatum","ACCI","Shrub","Whole tree (aboveground)","",NA,"Species","NRA",NA
"Wind River","Sapindaceae","Acer glabrum","ACGL","Tree","Whole tree (aboveground)","",NA,"Species","0.44",NA
"Wind River","Betulaceae","Corylus cornuta","COCOC","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.5",NA
"Wind River","Cornaceae","Cornus nuttallii","CONU","Tree","Total aboveground biomass","G",NA,"Family","0.58",NA
"Wind River","Ericaceae","Gaultheria shallon","GASH","Shrub","Total aboveground biomass","G",NA,"Family","0.5",NA
"Wind River","Ericaceae","Menziesia ferruginea","MEFE","Shrub","Total aboveground biomass","G",NA,"Family","0.5",NA
"Wind River","Ericaceae","Rhododendron macrophyllum","RHMA","Shrub","Total aboveground biomass","G",NA,"Family","0.5",NA
"Wind River","Pinaceae","Pinus monticola","PIMO","Tree","Total aboveground biomass","G",NA,"Genus","0.35",NA
"Wind River","Rhamnaceae","Rhamnus purshiana","RHPU","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.5",NA
"Wind River","Rosaceae","Amelanchier alnifolia","AMAL","Tree","Total aboveground biomass","G",NA,"Family","0.66",NA
"Wind River","Rosaceae","Oemleria cerasiformis","OECE","Shrub","Total aboveground biomass","G",NA,"Family","0.5",NA
"Wind River","Taxaceae","Taxus brevifolia","TABR","Tree","Total aboveground biomass","G",NA,"Family","0.6",NA
"Wind River","Ericaceae","Vaccinium membranaceum","VAME","Shrub","Total aboveground biomass (including foliage)","",NA,"Species","0.47",NA
"Wind River","Ericaceae","Vaccinium ovalifolium","VAOV","Shrub","Total aboveground biomass (including foliage)","",NA,"Species","0.47",NA
"Wind River","Ericaceae","Vaccinium parvifolium","VAPA","Shrub","Total aboveground biomass (including foliage)","",NA,"Species","0.47",NA
"Wind River","Pinaceae","Pseudotsuga menziesii","PSME","Tree","Total aboveground biomass","",NA,"Species","0.45",NA
"Wind River","Rosaceae","Holodiscus discolor","HODI","Shrub","Total aboveground biomass","",NA,"Species","0.71",NA
"Wind River","Rosaceae","Rubus leucodermis","RULE","Shrub","Total aboveground biomass","",NA,"Species","NRA",NA
"Wind River","Rosaceae","Rubus spectabalis","RUSP","Shrub","Total aboveground biomass","",NA,"Species","NRA",NA
"Wind River","Pinaceae","Abies procera","ABPR","Tree","Live branch biomass","",NA,"Species","0.37",NA
"Wind River","Pinaceae","Abies procera","ABPR","Tree","Total foliage biomass","",NA,"Species","0.37",NA
"Wind River","Pinaceae","Abies sp.","ABSP","Tree","Live branch biomass","",NA,"Genus","0.36",NA
"Wind River","Pinaceae","Abies sp.","ABSP","Tree","Total foliage biomass","",NA,"Genus","0.36",NA
"Wind River","Pinaceae","Abies sp.","ABSP","Tree","Stem bark biomass","",NA,"Genus","0.36",NA
"Wind River","Pinaceae","Abies procera","ABPR","Tree","Total stem biomass","",NA,"Species","0.37",NA
"Wind River","Pinaceae","Abies sp.","ABSP","Tree","Stem wood biomass (without bark)","",NA,"Genus","0.36",NA
"Wind River","Cupressaceae","Thuja plicata","THPL","Tree","Whole tree (aboveground)","",NA,"Species","0.31",NA
"Wind River","Cupressaceae","Thuja plicata","THPL","Tree","Whole tree (aboveground)","",NA,"Species","0.31",NA
"Wind River","Pinaceae","Abies grandis","ABGR","Tree","Crown (branches + foliage + twigs)","",NA,"Species","0.35",NA
"Wind River","Pinaceae","Abies amabilis","ABAM","Tree","Whole tree (above stump)","",NA,"Species","0.4",NA
"Wytham Woods","Fagaceae","Quercus robur","QUERRO","Tree","Whole tree (aboveground)","E",NA,"Species","0.53",NA
"Wytham Woods","Oleaceae","Fraxinus excelsior","FRAXEX","Tree","Whole tree (aboveground)","E",NA,"Species","0.49",NA
"Wytham Woods","Adoxaceae","Sambucus nigra","SAMBNI","Shrub","Whole tree (aboveground)","E",NA,"Woody species","0.5",NA
"Wytham Woods","Aquifoliaceae","Ilex aquifolium","ILEXAQ","Shrub","Whole tree (aboveground)","E",NA,"Woody species","0.61",NA
"Wytham Woods","Betulaceae","Betula sp.","BETUSP","Tree","Whole tree (aboveground)","E",NA,"Woody species","0.55",NA
"Wytham Woods","Betulaceae","Carpinus betulus","CARPBE","Tree","Whole tree (aboveground)","E",NA,"Woody species","0.53",NA
"Wytham Woods","Betulaceae","Corylus avellana","CORYAV","Shrub","Whole tree (aboveground)","E",NA,"Woody species","0.52",NA
"Wytham Woods","Celastraceae","Euonymus europaeus","EUONEU","Shrub","Whole tree (aboveground)","E",NA,"Woody species","0.6",NA
"Wytham Woods","Cornaceae","Cornus sanguinea","CORNSA","Shrub","Whole tree (aboveground)","E",NA,"Woody species","0.58",NA
"Wytham Woods","Fagaceae","Castanea sativa","CASTSA","Tree","Whole tree (aboveground)","E",NA,"Woody species","0.5",NA
"Wytham Woods","Fagaceae","Fagus sylvatica","FAGUSY","Tree","Whole tree (aboveground)","E",NA,"Woody species","0.53",NA
"Wytham Woods","Malvaceae","Tilia x europaea","TILIEU","Tree","Whole tree (aboveground)","E",NA,"Woody species","0.32",NA
"Wytham Woods","Pinaceae","Larix decidua","LARIDE","Tree","Whole tree (aboveground)","E",NA,"Woody species","0.45",NA
"Wytham Woods","Pinaceae","Picea abies","PICEAB","Tree","Whole tree (aboveground)","E",NA,"Woody species","0.32",NA
"Wytham Woods","Pinaceae","Pinus sylvatica","PINUSY","Tree","Whole tree (aboveground)","E",NA,"Woody species","0.53",NA
"Wytham Woods","Pinaceae","Pseudotsuga menziesii","PSEUME","Tree","Whole tree (aboveground)","E",NA,"Woody species","0.45",NA
"Wytham Woods","Rhamnaceae","Frangula alnus","FRANAL","Tree","Whole tree (aboveground)","E",NA,"Woody species","0.59",NA
"Wytham Woods","Rosaceae","Crataegus monogyna","CRATMO","Shrub","Whole tree (aboveground)","E",NA,"Woody species","0.62",NA
"Wytham Woods","Rosaceae","Prunus avium","PRUNAV","Tree","Whole tree (aboveground)","E",NA,"Woody species","0.48",NA
"Wytham Woods","Rosaceae","Prunus spinosa","PRUNSP","Tree","Whole tree (aboveground)","E",NA,"Woody species","0.7",NA
"Wytham Woods","Salicaceae","Salix sp.","SALISP","Tree","Whole tree (aboveground)","E",NA,"Woody species","0.36",NA
"Wytham Woods","Sapindaceae","Acer campestre","ACERCA","Tree","Whole tree (aboveground)","E",NA,"Woody species","0.53",NA
"Wytham Woods","Taxaceae","Taxus baccata","TAXUBA","Tree","Whole tree (aboveground)","E",NA,"Woody species","0.55",NA
"Wytham Woods","Sapindaceae","Acer pseudoplatanus","ACERPS","Tree","Whole tree (aboveground)","E",NA,"Species","0.48",NA
"Yosemite","Pinaceae","Pinus lambertiana","PILA","Tree","Total aboveground biomass","",NA,"Species","0.34",NA
"Yosemite","Pinaceae","Pseudotsuga menziesii","PSME","Tree","Total aboveground biomass","",NA,"Species","0.45",NA
"Yosemite","Rosaceae","Prunus emarginata","PREM","Tree","Whole tree (above stump)","",NA,"Species","0.47",NA
"Yosemite","Adoxaceae","Sambucus racemosa","SARA","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.5",NA
"Yosemite","Betulaceae","Corylus cornuta subsp. californica","COCOC","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.5",NA
"Yosemite","Cornaceae","Cornus nuttallii","CONU","Tree","Total aboveground biomass","G",NA,"Family","0.58",NA
"Yosemite","Ericaceae","Rhododendron occidentale","RHOC","Shrub","Total aboveground biomass","G",NA,"Family","0.5",NA
"Yosemite","Rhamnaceae","Rhamnus californica","RHCA","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.5",NA
"Yosemite","Rosaceae","Prunus emarginata","PREM","Tree","Total aboveground biomass","G",NA,"Family","0.47",NA
"Yosemite","Rosaceae","Prunus virginiana","PRVI","Tree","Total aboveground biomass","G",NA,"Family","0.47",NA
"Yosemite","Salicaceae","Salix scouleriana","SASC","Tree","Total aboveground biomass","G",NA,"Family","0.36",NA
"Yosemite","Salicaceae","Salix sp.","SALIX","Tree","Total aboveground biomass","G",NA,"Family","0.36",NA
"Yosemite","Pinaceae","Pinus lambertiana","PILA","Tree","Total aboveground biomass","",NA,"Species","0.34",NA
"Yosemite","Pinaceae","Pseudotsuga menziesii","PSME","Tree","Total aboveground biomass","",NA,"Species","0.45",NA
"Yosemite","Ericaceae","Arctostaphylos patula","ARPA","Shrub","Total aboveground biomass","",NA,"Species","0.72",NA
"Yosemite","Rhamnaceae","Ceanothus cordulatus","CECO","Shrub","Total aboveground biomass","",NA,"Species","0.67",NA
"Yosemite","Rhamnaceae","Ceanothus integerrimus","CEIN","Shrub","Total aboveground biomass","",NA,"Species","0.67",NA
"Yosemite","Rhamnaceae","Ceanothus parvifolius","CEPA","Shrub","Total aboveground biomass (including foliage)","",NA,"Species","0.67",NA
"Yosemite","Rosaceae","Holodiscus discolor","HODI","Shrub","Total aboveground biomass","",NA,"Species","0.71",NA
"Yosemite","Grossulariaceae","Ribes nevadense","RINE","Shrub","Total aboveground biomass","",NA,"Genus","NRA",NA
"Yosemite","Grossulariaceae","Ribes roezlii","RIRO","Shrub","Total aboveground biomass","",NA,"Genus","NRA",NA
"Yosemite","Pinaceae","Abies concolor","ABCO","Tree","Live branch biomass","",NA,"Species","0.37",NA
"Yosemite","Pinaceae","Abies magnifica","ABMA","Tree","Live branch biomass","",NA,"Species","0.37",NA
"Yosemite","Pinaceae","Abies concolor","ABCO","Tree","Total foliage biomass","",NA,"Species","0.37",NA
"Yosemite","Pinaceae","Abies magnifica","ABMA","Tree","Total foliage biomass","",NA,"Species","0.37",NA
"Yosemite","Pinaceae","Abies sp.","ABSP","Tree","Live branch biomass","",NA,"Genus","0.36",NA
"Yosemite","Pinaceae","Abies sp.","ABSP","Tree","Total foliage biomass","",NA,"Genus","0.36",NA
"Yosemite","Ericaceae","Leucothoe davisiae","LEDA","Shrub","Total aboveground live biomass","E",NA,"Species","0.405",NA
"Yosemite","Ericaceae","Vaccinium uliginosum","VAUL","Shrub","Total aboveground live biomass","E",NA,"Species","0.47",NA
"Yosemite","Cornaceae","Cornus sericea","COSE","Shrub","Total aboveground live biomass","E",NA,"Species","0.58",NA
"Yosemite","Fagaceae","Chrysolepis sempervirens","CHSE","Shrub","Total aboveground live biomass","E",NA,"Species","0.42",NA
"Yosemite","Pinaceae","Abies sp.","ABSP","Tree","Stem bark biomass","",NA,"Genus","0.36",NA
"Yosemite","Pinaceae","Abies concolor","ABCO","Tree","Total stem biomass","",NA,"Species","0.37",NA
"Yosemite","Pinaceae","Abies magnifica","ABMA","Tree","Total stem biomass","",NA,"Species","0.37",NA
"Yosemite","Pinaceae","Abies sp.","ABSP","Tree","Stem wood biomass (without bark)","",NA,"Genus","0.36",NA
"Yosemite","Cupressaceae","Calocedrus decurrens","CADE","Tree","Stem biomass (wood + bark)","",NA,"Species","0.35",NA
"Yosemite","Pinaceae","Abies concolor","ABCO","Tree","Stem (wood + bark)","",NA,"Species","0.37",NA
"Yosemite","Pinaceae","Abies magnifica","ABMA","Tree","Stem (wood + bark)","",NA,"Species","0.37",NA
"Yosemite","Pinaceae","Pinus ponderosa","PIPO","Tree","Stem (wood + bark)","",NA,"Species","0.38",NA
"Yosemite","Pinaceae","Pinus ponderosa","PIPO","Tree","Crown (branches + foliage + twigs)","",NA,"Species","0.38",NA
"Zofin","Sambucaceae","Sambucus racemosa","BEZ","Shrub","Total aboveground biomass","E",NA,"Species","0.46",NA
"Zofin","Fagaceae","Fagus sylvatica","BK","Tree","Total aboveground biomass","E",NA,"Species","0.59",NA
"Zofin","Betulaceae","Betula pandula","BR","Tree","Total aboveground biomass","E",NA,"Species","0.52",NA
"Zofin","Pinaceae","Abies alba","JD","Tree","Total aboveground biomass","E",NA,"Species","0.35",NA
"Zofin","Ulmaceae","Ulmus glabra","JL","Tree","Total aboveground biomass","E",NA,"Species","0.55",NA
"Zofin","Rosaceae","Sorbus aucuparia","JR","Tree","Total aboveground biomass","E",NA,"Species","0.63",NA
"Zofin","Aceraceae","Acer platanoides","JV","Tree","Total aboveground biomass","E",NA,"Species","0.51",NA
"Zofin","Aceraceae","Acer pseudoplatanus","KL","Tree","Total aboveground biomass","E",NA,"Species","0.51",NA
"Zofin","Pinaceae","Picea abies","SM","Tree","Total aboveground biomass","E",NA,"Species","0.37",NA
"Zofin","Salicaceae","Populus tremula","TP","Tree","Total aboveground biomass","E",NA,"Species","0.39",NA
"Zofin","Salicaceae","Salix caprea","VR","Tree","Total aboveground biomass","E",NA,"Species","0.4",NA
