"site","family","species","wsg","wsg_id","wsg_specificity","ref_wsg_id"
"Yosemite","Grossulariaceae","Ribes roezlii","NRA",NA,NA,NA
"Yosemite","Pinaceae","Abies concolor","0.37",NA,NA,NA
"Yosemite","Pinaceae","Abies magnifica","0.37",NA,NA,NA
"Yosemite","Pinaceae","Abies concolor","0.37",NA,NA,NA
"Yosemite","Pinaceae","Abies magnifica","0.37",NA,NA,NA
"Yosemite","Pinaceae","Abies sp.","0.36",NA,NA,NA
"Yosemite","Pinaceae","Abies sp.","0.36",NA,NA,NA
"Yosemite","Ericaceae","Leucothoe davisiae","0.405",NA,NA,NA
"Yosemite","Ericaceae","Vaccinium uliginosum","0.47",NA,NA,NA
"Yosemite","Cornaceae","Cornus sericea","0.58",NA,NA,NA
"Yosemite","Fagaceae","Chrysolepis sempervirens","0.42",NA,NA,NA
"Yosemite","Pinaceae","Abies sp.","0.36",NA,NA,NA
"Yosemite","Pinaceae","Abies concolor","0.37",NA,NA,NA
"Yosemite","Pinaceae","Abies magnifica","0.37",NA,NA,NA
"Yosemite","Pinaceae","Abies sp.","0.36",NA,NA,NA
"Yosemite","Cupressaceae","Calocedrus decurrens","0.35",NA,NA,NA
"Yosemite","Pinaceae","Abies concolor","0.37",NA,NA,NA
"Yosemite","Pinaceae","Abies magnifica","0.37",NA,NA,NA
"Yosemite","Pinaceae","Pinus ponderosa","0.38",NA,NA,NA
"Yosemite","Pinaceae","Pinus ponderosa","0.38",NA,NA,NA
"Zofin","Sambucaceae","Sambucus racemosa","0.46",NA,NA,NA
"Zofin","Fagaceae","Fagus sylvatica","0.59",NA,NA,NA
"Zofin","Betulaceae","Betula pandula","0.52",NA,NA,NA
"Zofin","Pinaceae","Abies alba","0.35",NA,NA,NA
"Zofin","Ulmaceae","Ulmus glabra","0.55",NA,NA,NA
"Zofin","Rosaceae","Sorbus aucuparia","0.63",NA,NA,NA
"Zofin","Aceraceae","Acer platanoides","0.51",NA,NA,NA
"Zofin","Aceraceae","Acer pseudoplatanus","0.51",NA,NA,NA
"Zofin","Pinaceae","Picea abies","0.37",NA,NA,NA
"Zofin","Salicaceae","Populus tremula","0.39",NA,NA,NA
"Zofin","Salicaceae","Salix caprea","0.4",NA,NA,NA
