site,family,genus,latin_name,species_code,life_form,warning
serc,Cornaceae,Cornus,Cornus florida,COFL2,Tree,NA
serc,Elaeagnaceae,Elaeagnus,Elaeagnus angustifolia,ELAN,Shrub,NA
serc,Elaeagnaceae,Elaeagnus,Elaeagnus umbellata,ELUM,Shrub,NA
serc,Fagaceae,Fagus,Fagus grandifolia,FAGR,Tree,NA
serc,Oleaceae,Fraxinus,Fraxinus americana,FRAM2,Tree,NA
serc,Oleaceae,Fraxinus,Fraxinus pennsylvanica,FRPE,Tree,NA
serc,Aquifoliaceae,Ilex,Ilex opaca,ILOP,Shrub,NA
serc,Aquifoliaceae,Ilex,Ilex verticillata,ILVE,Shrub,NA
serc,Juglandaceae,Juglans,Juglans nigra,JUNI,Tree,NA
serc,Cupressaceae,Juniperus,Juniperus virginiana,JUVI,Tree,NA
serc,Ericaceae,Kalmia,Kalmia latifolia,KALA,Shrub,NA
serc,Oleaceae,Ligustrum,Ligustrum spp.,LIGUS2,Shrub,NA
serc,Lauraceae,Lindera,Lindera benzoin,LIBE3,Shrub,NA
serc,Altingiaceae,Liquidambar,Liquidambar styraciflua,LIST2,Tree,NA
serc,Magnoliaceae,Liriodendron,Liriodendron tulipifera,LITU,Tree,NA
serc,Caprifoliaceae,Lonicera,Lonicera maackii,LOMA6,Shrub,NA
serc,Moraceae,Morus,Morus rubra,MORU2,Tree,NA
serc,Nyssaceae,Nyssa,Nyssa sylvatica,NYSY,Tree,NA
serc,Scrophulariaceae,Paulownia,Paulownia tomentosa,PATO2,Tree,NA
serc,Pinaceae,Pinus,Pinus taeda,PITA,Tree,NA
serc,Pinaceae,Pinus,Pinus virginiana,PIVI2,Tree,NA
serc,Platanaceae,Platanus,Platanus occidentalis,PLOC,Tree,NA
serc,Salicaceae,Populus,Populus grandidentata,POGR4,Tree,NA
serc,Rosaceae,Prunus,Prunus avium,PRAV,Tree,NA
serc,Rosaceae,Prunus,Prunus serotina,PRSE2,Tree,NA
serc,Fagaceae,Quercus,Quercus alba,QUAL,Tree,NA
serc,Fagaceae,Quercus,Quercus coccinea,QUCO2,Tree,NA
serc,Fagaceae,Quercus,Quercus falcata,QUFA,Tree,NA
serc,Fagaceae,Quercus,Quercus michauxii,QUMI,Tree,NA
serc,Fagaceae,Quercus,Quercus montana,QUMO4,Tree,Synonym Quercus prinus
serc,Fagaceae,Quercus,Quercus palustris,QUPA2,Tree,NA
serc,Fagaceae,Quercus,Quercus rubra,QURU,Tree,NA
serc,Fagaceae,Quercus,Quercus spp.,QUERC,Tree,NA
serc,Fagaceae,Quercus,Quercus stellata,QUST,Tree,NA
serc,Fagaceae,Quercus,Quercus velutina,QUVE,Tree,NA
serc,Ericaceae,Rhododendron,Rhododendron arborescens,RHAR3,Shrub,NA
serc,Anacardiaceae,Rhus,Rhus typhina,RHTY,Shrub,NA
serc,Rosaceae,Rosa,Rosa multiflora,ROMU,Shrub,NA
serc,Salicaceae,Salix,Salix nigra,SANI,Shrub,NA
serc,Adoxaceae,Sambucus,Sambucus nigra,SANIC4,Shrub,NA
serc,Lauraceae,Sassafras,Sassafras albidum,SAAL5,Tree,NA
serc,Malvaceae,Tilia,Tilia americana,TIAM,Tree,NA
serc,Ulmaceae,Ulmus,Ulmus americana,ULAM,Tree,NA
serc,Ulmaceae,Ulmus,Ulmus rubra,ULRU,Tree,NA
serc,Ericaceae,Vaccinium,Vaccinium corymbosum,VACO,Shrub,NA
serc,Ericaceae,Vaccinium,Vaccinium spp.,VACCI,Shrub,NA
serc,Adoxaceae,Viburnum,Viburnum acerifolium,VIAC,Shrub,NA
serc,Adoxaceae,Viburnum,Viburnum dentatum,VIDE,Shrub,NA
serc,Adoxaceae,Viburnum,Viburnum prunifolium,VIPR,Shrub,NA
tyson,Sapindaceae,Acer,Acer negundo,aceneg,Tree,NA
tyson,Sapindaceae,Acer,Acer rubrum,acerub,Tree,NA
tyson,Sapindaceae,Acer,Acer saccharum,acesac,Tree,NA
tyson,Simaroubaceae,Ailanthus,Ailanthus altissima,ailalt,Tree,NA
tyson,Rosaceae,Amelanchier,Amelanchier arborea,amearb,Tree,NA
tyson,Annonaceae,Asimina,Asimina triloba,asitri,Tree,NA
tyson,Juglandaceae,Carya,Carya cordiformis,carcor,Tree,NA
tyson,Juglandaceae,Carya,Carya glabra,cargla,Tree,NA
tyson,Juglandaceae,Carya,Carya ovata,carova,Tree,NA
tyson,Juglandaceae,Carya,Carya sp.,carsp,Tree,NA
tyson,Juglandaceae,Carya,Carya spp.,carsp,Tree,NA
tyson,Juglandaceae,Carya,Carya texana,cartex,Tree,NA
tyson,Juglandaceae,Carya,Carya tomentosa,cartom,Tree,NA
tyson,Cannabaceae,Celtis,Celtis occidentalis,celocc,Tree,NA
tyson,Cannabaceae,Celtis,Celtis tenuifolia,celten,Tree,NA
tyson,Fabaceae,Cercis,Cercis canadensis,cercan,Tree,NA
tyson,Cornaceae,Cornus,Cornus drummondii,cordru,Tree,NA
tyson,Cornaceae,Cornus,Cornus florida,corflo,Tree,NA
tyson,Rosaceae,Crataegus,Crataegus spp.,crasp,Shrub,NA
tyson,Ebenaceae,Diospyros,Diospyros virginiana,diovir,Tree,NA
tyson,Rhamnaceae,Frangula,Frangula caroliniana,fracar,Shrub,NA
tyson,Oleaceae,Fraxinus,Fraxinus americana,fraame,Tree,NA
tyson,Fabaceae,Gleditsia,Gleditsia triacanthos,gletri,Tree,NA
tyson,Juglandaceae,Juglans,Juglans nigra,jugnig,Tree,NA
tyson,Cupressaceae,Juniperus,Juniperus virginiana,junvir,Tree,NA
tyson,Lauraceae,Lindera,Lindera benzoin,linben,Shrub,NA
tyson,Caprifoliaceae,Lonicera,Lonicera maackii,lonmaa,Shrub,NA
tyson,Rosaceae,Malus,Malus ioensis,malioe,Shrub,NA
tyson,Moraceae,Morus,Morus rubra,morrub,Tree,NA
tyson,Betulaceae,Ostrya,Ostrya virginiana,ostvir,Tree,NA
tyson,Betulaceae,Ostrya,Ostrya virginiana,NA,Tree,NA
tyson,Platanaceae,Platanus,Platanus occidentalis,plaocc,Tree,NA
tyson,Rosaceae,Prunus,Prunus americana,pruame,Tree,NA
tyson,Rosaceae,Prunus,Prunus serotina,pruser,Tree,NA
tyson,Rosaceae,Prunus,Prunus sp.,prusp,Tree,NA
tyson,Fagaceae,Quercus,Quercus alba,quealb,Tree,NA
tyson,Fagaceae,Quercus,Quercus marilandica,quemar,Tree,NA
tyson,Fagaceae,Quercus,Quercus muehlenbergii,quemue,Tree,NA
tyson,Fagaceae,Quercus,Quercus rubra,querub,Tree,NA
tyson,Fagaceae,Quercus,Quercus sp.,quesp,Tree,NA
tyson,Fagaceae,Quercus,Quercus stellata,queste,Tree,NA
tyson,Fagaceae,Quercus,Quercus velutina,quevel,Tree,NA
tyson,Lauraceae,Sassafras,Sassafras albidum,sasalb,Tree,NA
tyson,Sapotaceae,Sideroxylon,Sideroxylon lanuginosum,sidlan,Shrub,NA
tyson,Malvaceae,Tilia,Tilia americana,tilame,Tree,NA
tyson,Ulmaceae,Ulmus,Ulmus rubra,ulmrub,Tree,NA
ucsc,Sapindaceae,Acer,Acer macrophyllum,ACERMA,Tree,NA
ucsc,Ericaceae,Arbutus,Arbutus menziesii,ARBUME,Tree,NA
ucsc,Ericaceae,Arctostaphylos,Arctostaphylos andersonii,ARCTAN,Shrub,NA
ucsc,Ericaceae,Arctostaphylos,Arctostaphylos tomentosa,ARCTCR,Shrub,NA
ucsc,Asteraceae,Baccharis,Baccharis pilularis,BACCPI,Shrub,NA
ucsc,Rhamnaceae,Ceanothus,Ceanothus thyrsiflorus,CEANTH,Shrub,NA
ucsc,Betulaceae,Corylus,Corylus cornuta,CORYCO,Shrub,NA
ucsc,Rosaceae,Cotoneaster,Cotoneaster franchetii,COTOFR,Shrub,NA
ucsc,Rosaceae,Cotoneaster,Cotoneaster pannosus,COTOPA,Shrub,NA
ucsc,Rosaceae,Crataegus,Crataegus monogyna,CRATMO,Shrub,NA
ucsc,Myrtaceae,Eucalyptus,Eucalyptus globulus,EUCAGL,Tree,NA
ucsc,Rosaceae,Heteromeles,Heteromeles arbutifolia,HETEAR,Shrub,Biomass on Heteromeles arbutifolia is usually measured using crown dimension
